Number Of Animals (sum),Gear Code,Stat Area,Species Code,Batch Year,Date of Landing (MM/DD)
7,03,24457,430 Coho Salmon,2020,08/04
2340,03,24457,430 Coho Salmon,2020,08/06
60,03,24457,430 Coho Salmon,2020,08/07
1497,03,24457,430 Coho Salmon,2020,08/10
101,03,24457,430 Coho Salmon,2020,08/11
1248,03,24457,430 Coho Salmon,2020,08/13
401,03,24457,430 Coho Salmon,2020,08/14
240,03,24457,430 Coho Salmon,2020,08/15
1635,03,24457,430 Coho Salmon,2021,07/20
4293,03,24457,430 Coho Salmon,2021,07/21
3223,03,24457,430 Coho Salmon,2021,07/22
471,03,24457,430 Coho Salmon,2021,07/23
2738,03,24457,430 Coho Salmon,2021,07/27
931,03,24457,430 Coho Salmon,2021,07/28
2,03,24457,430 Coho Salmon,2021,07/29
2730,03,24457,430 Coho Salmon,2021,08/01
156,03,24457,430 Coho Salmon,2021,08/02
2149,03,24457,430 Coho Salmon,2021,08/03
2122,03,24457,430 Coho Salmon,2021,08/04
4,03,24457,430 Coho Salmon,2021,08/05
1154,03,24457,430 Coho Salmon,2021,08/06
2440,03,24457,430 Coho Salmon,2021,08/07
635,03,24457,430 Coho Salmon,2021,08/08
207,03,24457,430 Coho Salmon,2021,08/10
427,03,24457,430 Coho Salmon,2021,08/11
47,03,24457,430 Coho Salmon,2021,08/12
483,03,24457,430 Coho Salmon,2022,07/19
653,03,24457,430 Coho Salmon,2022,07/20
1029,03,24457,430 Coho Salmon,2022,07/21
436,03,24457,430 Coho Salmon,2022,07/22
723,03,24457,430 Coho Salmon,2022,07/23
1193,03,24457,430 Coho Salmon,2022,07/24
1788,03,24457,430 Coho Salmon,2022,07/26
3097,03,24457,430 Coho Salmon,2022,07/27
425,03,24457,430 Coho Salmon,2022,07/28
412,03,24457,430 Coho Salmon,2022,07/29
2829,03,24457,430 Coho Salmon,2022,07/30
2397,03,24457,430 Coho Salmon,2022,07/31
660,03,24457,430 Coho Salmon,2023,07/18
794,03,24457,430 Coho Salmon,2023,07/19
619,03,24457,430 Coho Salmon,2023,07/20
268,03,24457,430 Coho Salmon,2023,07/21
1401,03,24457,430 Coho Salmon,2023,07/27
217,03,24457,430 Coho Salmon,2023,07/28
2813,03,24457,430 Coho Salmon,2023,07/29
1886,03,24457,430 Coho Salmon,2023,07/30
49,03,24457,430 Coho Salmon,2023,07/31
644,03,24457,430 Coho Salmon,2023,08/01
1281,03,24457,430 Coho Salmon,2023,08/02
68,03,24457,430 Coho Salmon,2023,08/03
4,03,24457,430 Coho Salmon,2024,07/06
2,03,24457,430 Coho Salmon,2024,07/07
5,03,24457,430 Coho Salmon,2024,07/08
47,03,24457,430 Coho Salmon,2024,07/15
77,03,24457,430 Coho Salmon,2024,07/16
150,03,24457,430 Coho Salmon,2024,07/17
263,03,24457,430 Coho Salmon,2024,07/18
407,03,24457,430 Coho Salmon,2024,07/19
43,03,24457,430 Coho Salmon,2024,07/20
219,03,24457,430 Coho Salmon,2024,07/21
919,03,24457,430 Coho Salmon,2024,07/22
589,03,24457,430 Coho Salmon,2024,07/23
754,03,24457,430 Coho Salmon,2024,07/24
851,03,24457,430 Coho Salmon,2024,07/25
330,03,24457,430 Coho Salmon,2024,07/26
222,03,24457,430 Coho Salmon,2024,07/27
270,03,24457,430 Coho Salmon,2024,07/28
183,03,24457,430 Coho Salmon,2024,07/29
241,03,24457,430 Coho Salmon,2024,07/30
120,03,24457,430 Coho Salmon,2024,07/31
52,03,24457,430 Coho Salmon,2024,08/01
237,03,24457,430 Coho Salmon,2024,08/05
1,03,24460,430 Coho Salmon,2005,06/20
7,03,24460,430 Coho Salmon,2005,06/23
26,03,24460,430 Coho Salmon,2005,06/27
94,03,24460,430 Coho Salmon,2005,06/30
286,03,24460,430 Coho Salmon,2005,07/04
1025,03,24460,430 Coho Salmon,2005,07/07
1776,03,24460,430 Coho Salmon,2005,07/11
1989,03,24460,430 Coho Salmon,2005,07/14
4965,03,24460,430 Coho Salmon,2005,07/18
14844,03,24460,430 Coho Salmon,2005,07/21
16637,03,24460,430 Coho Salmon,2005,07/25
39827,03,24460,430 Coho Salmon,2005,07/28
9637,03,24460,430 Coho Salmon,2005,07/30
6918,03,24460,430 Coho Salmon,2005,08/01
8613,03,24460,430 Coho Salmon,2005,08/04
5188,03,24460,430 Coho Salmon,2005,08/08
3951,03,24460,430 Coho Salmon,2005,08/11
3160,03,24460,430 Coho Salmon,2005,08/15
1674,03,24460,430 Coho Salmon,2005,08/18
797,03,24460,430 Coho Salmon,2005,08/22
752,03,24460,430 Coho Salmon,2005,08/25
32,03,24460,430 Coho Salmon,2005,08/29
586,03,24460,430 Coho Salmon,2005,09/05
47,03,24460,430 Coho Salmon,2006,06/19
125,03,24460,430 Coho Salmon,2006,06/22
860,03,24460,430 Coho Salmon,2006,06/26
2454,03,24460,430 Coho Salmon,2006,06/29
6192,03,24460,430 Coho Salmon,2006,07/03
6368,03,24460,430 Coho Salmon,2006,07/06
20037,03,24460,430 Coho Salmon,2006,07/31
8324,03,24460,430 Coho Salmon,2006,08/02
7668,03,24460,430 Coho Salmon,2006,08/05
8760,03,24460,430 Coho Salmon,2006,08/07
11684,03,24460,430 Coho Salmon,2006,08/09
4665,03,24460,430 Coho Salmon,2006,08/10
860,03,24460,430 Coho Salmon,2006,08/11
1205,03,24460,430 Coho Salmon,2006,08/14
1229,03,24460,430 Coho Salmon,2006,08/16
2885,03,24460,430 Coho Salmon,2006,08/17
3429,03,24460,430 Coho Salmon,2006,08/21
1120,03,24460,430 Coho Salmon,2006,08/24
617,03,24460,430 Coho Salmon,2006,08/28
518,03,24460,430 Coho Salmon,2006,08/31
504,03,24460,430 Coho Salmon,2006,09/04
188,03,24460,430 Coho Salmon,2006,09/07
195,03,24460,430 Coho Salmon,2006,09/11
10,03,24460,430 Coho Salmon,2007,06/21
80,03,24460,430 Coho Salmon,2007,06/25
303,03,24460,430 Coho Salmon,2007,06/28
845,03,24460,430 Coho Salmon,2007,07/02
2534,03,24460,430 Coho Salmon,2007,07/05
5480,03,24460,430 Coho Salmon,2007,07/09
9487,03,24460,430 Coho Salmon,2007,07/12
24758,03,24460,430 Coho Salmon,2007,07/16
18242,03,24460,430 Coho Salmon,2007,07/19
6636,03,24460,430 Coho Salmon,2007,07/23
5083,03,24460,430 Coho Salmon,2007,07/26
10973,03,24460,430 Coho Salmon,2007,07/30
3771,03,24460,430 Coho Salmon,2007,08/02
3441,03,24460,430 Coho Salmon,2007,08/06
5095,03,24460,430 Coho Salmon,2007,08/09
2180,03,24460,430 Coho Salmon,2007,08/13
1391,03,24460,430 Coho Salmon,2007,08/16
1215,03,24460,430 Coho Salmon,2007,08/20
621,03,24460,430 Coho Salmon,2007,08/23
1077,03,24460,430 Coho Salmon,2007,08/27
1131,03,24460,430 Coho Salmon,2007,08/30
69,03,24460,430 Coho Salmon,2007,09/03
296,03,24460,430 Coho Salmon,2007,09/06
131,03,24460,430 Coho Salmon,2007,09/10
4,03,24460,430 Coho Salmon,2008,06/23
23,03,24460,430 Coho Salmon,2008,06/26
344,03,24460,430 Coho Salmon,2008,06/30
1832,03,24460,430 Coho Salmon,2008,07/03
5557,03,24460,430 Coho Salmon,2008,07/07
12618,03,24460,430 Coho Salmon,2008,07/14
18976,03,24460,430 Coho Salmon,2008,07/17
13003,03,24460,430 Coho Salmon,2008,07/21
4911,03,24460,430 Coho Salmon,2008,07/24
2302,03,24460,430 Coho Salmon,2008,08/04
4118,03,24460,430 Coho Salmon,2008,08/07
4539,03,24460,430 Coho Salmon,2008,08/11
2277,03,24460,430 Coho Salmon,2008,08/14
1754,03,24460,430 Coho Salmon,2008,08/18
2838,03,24460,430 Coho Salmon,2008,08/21
2883,03,24460,430 Coho Salmon,2008,08/25
2405,03,24460,430 Coho Salmon,2008,08/28
1575,03,24460,430 Coho Salmon,2008,09/04
94,03,24460,430 Coho Salmon,2008,09/08
209,03,24460,430 Coho Salmon,2008,09/11
5,03,24460,430 Coho Salmon,2009,06/22
410,03,24460,430 Coho Salmon,2009,06/29
98,03,24460,430 Coho Salmon,2009,07/02
520,03,24460,430 Coho Salmon,2009,07/06
1773,03,24460,430 Coho Salmon,2009,07/09
3720,03,24460,430 Coho Salmon,2009,07/13
6763,03,24460,430 Coho Salmon,2009,07/16
9960,03,24460,430 Coho Salmon,2009,07/20
12546,03,24460,430 Coho Salmon,2009,07/23
6984,03,24460,430 Coho Salmon,2009,08/01
16502,03,24460,430 Coho Salmon,2009,08/03
6952,03,24460,430 Coho Salmon,2009,08/06
3142,03,24460,430 Coho Salmon,2009,08/10
1123,03,24460,430 Coho Salmon,2009,08/13
1976,03,24460,430 Coho Salmon,2009,08/17
1490,03,24460,430 Coho Salmon,2009,08/20
1968,03,24460,430 Coho Salmon,2009,08/24
1570,03,24460,430 Coho Salmon,2009,08/31
280,03,24460,430 Coho Salmon,2009,09/03
929,03,24460,430 Coho Salmon,2009,09/07
288,03,24460,430 Coho Salmon,2009,09/14
2,03,24460,430 Coho Salmon,2010,06/21
8,03,24460,430 Coho Salmon,2010,06/24
70,03,24460,430 Coho Salmon,2010,06/28
402,03,24460,430 Coho Salmon,2010,07/01
2272,03,24460,430 Coho Salmon,2010,07/05
5457,03,24460,430 Coho Salmon,2010,07/08
17922,03,24460,430 Coho Salmon,2010,07/12
5622,03,24460,430 Coho Salmon,2010,07/15
13827,03,24460,430 Coho Salmon,2010,07/19
15691,03,24460,430 Coho Salmon,2010,07/22
11850,03,24460,430 Coho Salmon,2010,07/26
11479,03,24460,430 Coho Salmon,2010,07/29
6206,03,24460,430 Coho Salmon,2010,08/02
5897,03,24460,430 Coho Salmon,2010,08/05
2775,03,24460,430 Coho Salmon,2010,08/09
829,03,24460,430 Coho Salmon,2010,08/12
443,03,24460,430 Coho Salmon,2010,08/16
607,03,24460,430 Coho Salmon,2010,08/19
1899,03,24460,430 Coho Salmon,2010,08/23
1560,03,24460,430 Coho Salmon,2010,08/26
949,03,24460,430 Coho Salmon,2010,08/30
972,03,24460,430 Coho Salmon,2010,09/02
176,03,24460,430 Coho Salmon,2010,09/06
66,03,24460,430 Coho Salmon,2010,09/09
3,03,24460,430 Coho Salmon,2011,06/20
8,03,24460,430 Coho Salmon,2011,06/23
41,03,24460,430 Coho Salmon,2011,06/27
98,03,24460,430 Coho Salmon,2011,06/30
149,03,24460,430 Coho Salmon,2011,07/04
829,03,24460,430 Coho Salmon,2011,07/07
2982,03,24460,430 Coho Salmon,2011,07/14
1770,03,24460,430 Coho Salmon,2011,07/18
2519,03,24460,430 Coho Salmon,2011,07/21
3828,03,24460,430 Coho Salmon,2011,07/23
3187,03,24460,430 Coho Salmon,2011,07/25
3370,03,24460,430 Coho Salmon,2011,07/27
3088,03,24460,430 Coho Salmon,2011,07/28
4568,03,24460,430 Coho Salmon,2011,08/01
3199,03,24460,430 Coho Salmon,2011,08/04
1172,03,24460,430 Coho Salmon,2011,08/08
825,03,24460,430 Coho Salmon,2011,08/11
935,03,24460,430 Coho Salmon,2011,08/15
171,03,24460,430 Coho Salmon,2011,08/18
254,03,24460,430 Coho Salmon,2011,08/22
148,03,24460,430 Coho Salmon,2011,08/29
39,03,24460,430 Coho Salmon,2011,09/01
1,03,24460,430 Coho Salmon,2012,06/21
20,03,24460,430 Coho Salmon,2012,06/28
48,03,24460,430 Coho Salmon,2012,07/02
53,03,24460,430 Coho Salmon,2012,07/05
240,03,24460,430 Coho Salmon,2012,07/12
1146,03,24460,430 Coho Salmon,2012,07/14
3944,03,24460,430 Coho Salmon,2012,07/16
7583,03,24460,430 Coho Salmon,2012,07/19
9992,03,24460,430 Coho Salmon,2012,07/21
12324,03,24460,430 Coho Salmon,2012,07/23
16374,03,24460,430 Coho Salmon,2012,07/26
9089,03,24460,430 Coho Salmon,2012,07/30
489,03,24460,430 Coho Salmon,2012,08/02
2246,03,24460,430 Coho Salmon,2012,08/06
1297,03,24460,430 Coho Salmon,2012,08/09
325,03,24460,430 Coho Salmon,2012,08/13
585,03,24460,430 Coho Salmon,2012,08/16
318,03,24460,430 Coho Salmon,2012,08/20
498,03,24460,430 Coho Salmon,2012,08/23
312,03,24460,430 Coho Salmon,2012,08/30
1,03,24460,430 Coho Salmon,2013,06/24
72,03,24460,430 Coho Salmon,2013,06/27
901,03,24460,430 Coho Salmon,2013,07/01
4194,03,24460,430 Coho Salmon,2013,07/04
5997,03,24460,430 Coho Salmon,2013,07/08
14034,03,24460,430 Coho Salmon,2013,07/15
12679,03,24460,430 Coho Salmon,2013,07/18
31828,03,24460,430 Coho Salmon,2013,07/22
37024,03,24460,430 Coho Salmon,2013,07/25
11193,03,24460,430 Coho Salmon,2013,07/29
21790,03,24460,430 Coho Salmon,2013,08/01
11882,03,24460,430 Coho Salmon,2013,08/05
7816,03,24460,430 Coho Salmon,2013,08/08
3782,03,24460,430 Coho Salmon,2013,08/12
3069,03,24460,430 Coho Salmon,2013,08/15
2360,03,24460,430 Coho Salmon,2013,08/19
843,03,24460,430 Coho Salmon,2013,08/22
989,03,24460,430 Coho Salmon,2013,08/26
26,03,24460,430 Coho Salmon,2013,09/12
3,03,24460,430 Coho Salmon,2014,06/19
18,03,24460,430 Coho Salmon,2014,06/23
222,03,24460,430 Coho Salmon,2014,06/26
457,03,24460,430 Coho Salmon,2014,06/30
2,03,24460,430 Coho Salmon,2014,07/01
1060,03,24460,430 Coho Salmon,2014,07/03
64,03,24460,430 Coho Salmon,2014,07/04
813,03,24460,430 Coho Salmon,2014,07/07
88,03,24460,430 Coho Salmon,2014,07/08
846,03,24460,430 Coho Salmon,2014,07/10
1739,03,24460,430 Coho Salmon,2014,07/12
2899,03,24460,430 Coho Salmon,2014,07/14
12198,03,24460,430 Coho Salmon,2014,07/17
736,03,24460,430 Coho Salmon,2014,07/18
12547,03,24460,430 Coho Salmon,2014,07/21
10989,03,24460,430 Coho Salmon,2014,08/04
153,03,24460,430 Coho Salmon,2014,08/05
5679,03,24460,430 Coho Salmon,2014,08/07
137,03,24460,430 Coho Salmon,2014,08/08
2771,03,24460,430 Coho Salmon,2014,08/11
107,03,24460,430 Coho Salmon,2014,08/12
1423,03,24460,430 Coho Salmon,2014,08/14
45,03,24460,430 Coho Salmon,2014,08/15
961,03,24460,430 Coho Salmon,2014,08/18
609,03,24460,430 Coho Salmon,2014,08/21
394,03,24460,430 Coho Salmon,2014,08/22
794,03,24460,430 Coho Salmon,2014,08/25
138,03,24460,430 Coho Salmon,2014,08/28
